Training RetinaNet-ResNet50, FPN_MODE=custom, 640px, 30 epochs
/home/aarav/attack_env/lib/python3.12/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'backbone_name' as positional parameter(s) is deprecated since 0.13 and may be removed in the future. Please use keyword parameter(s) instead.
  warnings.warn(
  ep18/30 it400/809 loss 0.504 lr 0.00040
  ep18/30 it450/809 loss 0.496 lr 0.00040
  ep18/30 it500/809 loss 0.588 lr 0.00040
  ep18/30 it550/809 loss 0.642 lr 0.00040
  ep18/30 it600/809 loss 0.421 lr 0.00040
  ep18/30 it650/809 loss 0.531 lr 0.00040
  ep18/30 it700/809 loss 0.513 lr 0.00040
  ep18/30 it750/809 loss 0.396 lr 0.00040
  ep18/30 it800/809 loss 0.526 lr 0.00040
Epoch 18 done, avg loss 0.528
  ep19/30 it0/809 loss 0.544 lr 0.00035
  ep19/30 it50/809 loss 0.681 lr 0.00035
  ep19/30 it100/809 loss 0.592 lr 0.00035
  ep19/30 it150/809 loss 0.544 lr 0.00035
  ep19/30 it200/809 loss 0.525 lr 0.00035
  ep19/30 it250/809 loss 0.509 lr 0.00035
  ep19/30 it300/809 loss 0.394 lr 0.00035
  ep19/30 it350/809 loss 0.484 lr 0.00035
  ep19/30 it400/809 loss 0.562 lr 0.00035
  ep19/30 it450/809 loss 0.595 lr 0.00035
  ep19/30 it500/809 loss 0.678 lr 0.00035
  ep19/30 it550/809 loss 0.494 lr 0.00035
  ep19/30 it600/809 loss 0.570 lr 0.00035
  ep19/30 it650/809 loss 0.625 lr 0.00035
  ep19/30 it700/809 loss 0.586 lr 0.00035
  ep19/30 it750/809 loss 0.535 lr 0.00035
  ep19/30 it800/809 loss 0.539 lr 0.00035
Epoch 19 done, avg loss 0.522
  ep20/30 it0/809 loss 0.373 lr 0.00030
  ep20/30 it50/809 loss 0.488 lr 0.00030
  ep20/30 it100/809 loss 0.500 lr 0.00030
  ep20/30 it150/809 loss 0.611 lr 0.00030
  ep20/30 it200/809 loss 0.440 lr 0.00030
  ep20/30 it250/809 loss 0.497 lr 0.00030
  ep20/30 it300/809 loss 0.513 lr 0.00030
  ep20/30 it350/809 loss 0.512 lr 0.00030
  ep20/30 it400/809 loss 0.478 lr 0.00030
  ep20/30 it450/809 loss 0.531 lr 0.00030
  ep20/30 it500/809 loss 0.471 lr 0.00030
  ep20/30 it550/809 loss 0.446 lr 0.00030
  ep20/30 it600/809 loss 0.350 lr 0.00030
  ep20/30 it650/809 loss 0.654 lr 0.00030
  ep20/30 it700/809 loss 0.580 lr 0.00030
  ep20/30 it750/809 loss 0.506 lr 0.00030
  ep20/30 it800/809 loss 0.472 lr 0.00030
Epoch 20 done, avg loss 0.516
  ep21/30 it0/809 loss 0.449 lr 0.00025
  ep21/30 it50/809 loss 0.490 lr 0.00025
  ep21/30 it100/809 loss 0.526 lr 0.00025
  ep21/30 it150/809 loss 0.399 lr 0.00025
  ep21/30 it200/809 loss 0.464 lr 0.00025
  ep21/30 it250/809 loss 0.495 lr 0.00025
  ep21/30 it300/809 loss 0.500 lr 0.00025
  ep21/30 it350/809 loss 0.582 lr 0.00025
  ep21/30 it400/809 loss 0.352 lr 0.00025
  ep21/30 it450/809 loss 0.645 lr 0.00025
  ep21/30 it500/809 loss 0.421 lr 0.00025
  ep21/30 it550/809 loss 0.476 lr 0.00025
